0          References for Cross Section of OC36S       
Hattori 2011-Limao-Vieira 2015                                                               
0 Branching ratio for OC36S      Total       1 branch
Lambda  Total   CO/36S  
2278  2.72E-19  2.72E-19
2278.5  2.72E-19  2.72E-19
2279  2.72E-19  2.72E-19
2279.5  2.72E-19  2.72E-19
2280  2.72E-19  2.72E-19
2280.5  2.73E-19  2.73E-19
2281  2.74E-19  2.74E-19
2281.5  2.75E-19  2.75E-19
2282  2.76E-19  2.76E-19
2282.5  2.77E-19  2.77E-19
2283  2.79E-19  2.79E-19
2283.5  2.81E-19  2.81E-19
2284  2.83E-19  2.83E-19
2284.5  2.85E-19  2.85E-19
2285  2.86E-19  2.86E-19
2285.5  2.87E-19  2.87E-19
2286  2.89E-19  2.89E-19
2286.5  2.83E-19  2.83E-19
2287  2.77E-19  2.77E-19
2287.5  2.71E-19  2.71E-19
2288  2.65E-19  2.65E-19
2288.5  2.63E-19  2.63E-19
2289  2.61E-19  2.61E-19
2289.5  2.59E-19  2.59E-19
2290  2.58E-19  2.58E-19
2290.5  2.57E-19  2.57E-19
2291  2.57E-19  2.57E-19
2291.5  2.57E-19  2.57E-19
2292  2.56E-19  2.56E-19
2292.5  2.57E-19  2.57E-19
2293  2.58E-19  2.58E-19
2293.5  2.58E-19  2.58E-19
2294  2.59E-19  2.59E-19
2294.5  2.58E-19  2.58E-19
2295  2.58E-19  2.58E-19
2295.5  2.58E-19  2.58E-19
2296  2.57E-19  2.57E-19
2296.5  2.57E-19  2.57E-19
2297  2.56E-19  2.56E-19
2297.5  2.55E-19  2.55E-19
2298  2.55E-19  2.55E-19
2298.5  2.55E-19  2.55E-19
2299  2.56E-19  2.56E-19
2299.5  2.57E-19  2.57E-19
2300  2.58E-19  2.58E-19
2300.5  2.58E-19  2.58E-19
2301  2.57E-19  2.57E-19
2301.5  2.57E-19  2.57E-19
2302  2.57E-19  2.57E-19
2302.5  2.55E-19  2.55E-19
2303  2.53E-19  2.53E-19
2303.5  2.51E-19  2.51E-19
2304  2.50E-19  2.50E-19
2304.5  2.49E-19  2.49E-19
2305  2.49E-19  2.49E-19
2305.5  2.48E-19  2.48E-19
2306  2.48E-19  2.48E-19
2306.5  2.48E-19  2.48E-19
2307  2.48E-19  2.48E-19
2307.5  2.47E-19  2.47E-19
2308  2.47E-19  2.47E-19
2308.5  2.46E-19  2.46E-19
2309  2.46E-19  2.46E-19
2309.5  2.45E-19  2.45E-19
2310  2.44E-19  2.44E-19
2310.5  2.44E-19  2.44E-19
2311  2.43E-19  2.43E-19
2311.5  2.43E-19  2.43E-19
2312  2.43E-19  2.43E-19
2312.5  2.40E-19  2.40E-19
2313  2.38E-19  2.38E-19
2313.5  2.36E-19  2.36E-19
2314  2.34E-19  2.34E-19
2314.5  2.33E-19  2.33E-19
2315  2.32E-19  2.32E-19
2315.5  2.31E-19  2.31E-19
2316  2.30E-19  2.30E-19
2316.5  2.31E-19  2.31E-19
2317  2.31E-19  2.31E-19
2317.5  2.31E-19  2.31E-19
2318  2.32E-19  2.32E-19
2318.5  2.32E-19  2.32E-19
2319  2.33E-19  2.33E-19
2319.5  2.34E-19  2.34E-19
2320  2.35E-19  2.35E-19
2320.5  2.33E-19  2.33E-19
2321  2.32E-19  2.32E-19
2321.5  2.30E-19  2.30E-19
2322  2.28E-19  2.28E-19
2322.5  2.25E-19  2.25E-19
2323  2.21E-19  2.21E-19
2323.5  2.17E-19  2.17E-19
2324  2.13E-19  2.13E-19
2324.5  2.12E-19  2.12E-19
2325  2.11E-19  2.11E-19
2325.5  2.10E-19  2.10E-19
2326  2.08E-19  2.08E-19
2326.5  2.08E-19  2.08E-19
2327  2.08E-19  2.08E-19
2327.5  2.08E-19  2.08E-19
2328  2.08E-19  2.08E-19
2328.5  2.07E-19  2.07E-19
2329  2.07E-19  2.07E-19
2329.5  2.07E-19  2.07E-19
2330  2.07E-19  2.07E-19
2330.5  2.07E-19  2.07E-19
2331  2.06E-19  2.06E-19
2331.5  2.06E-19  2.06E-19
2332  2.06E-19  2.06E-19
2332.5  2.05E-19  2.05E-19
2333  2.05E-19  2.05E-19
2333.5  2.04E-19  2.04E-19
2334  2.03E-19  2.03E-19
2334.5  2.03E-19  2.03E-19
2335  2.03E-19  2.03E-19
2335.5  2.03E-19  2.03E-19
2336  2.03E-19  2.03E-19
2336.5  2.03E-19  2.03E-19
2337  2.03E-19  2.03E-19
2337.5  2.02E-19  2.02E-19
2338  2.02E-19  2.02E-19
2338.5  2.02E-19  2.02E-19
2339  2.01E-19  2.01E-19
2339.5  2.00E-19  2.00E-19
2340  1.99E-19  1.99E-19
2340.5  1.97E-19  1.97E-19
2341  1.95E-19  1.95E-19
2341.5  1.93E-19  1.93E-19
2342  1.91E-19  1.91E-19
2342.5  1.90E-19  1.90E-19
2343  1.89E-19  1.89E-19
2343.5  1.87E-19  1.87E-19
2344  1.86E-19  1.86E-19
2344.5  1.85E-19  1.85E-19
2345  1.85E-19  1.85E-19
2345.5  1.84E-19  1.84E-19
2346  1.84E-19  1.84E-19
2346.5  1.83E-19  1.83E-19
2347  1.83E-19  1.83E-19
2347.5  1.82E-19  1.82E-19
2348  1.82E-19  1.82E-19
2348.5  1.81E-19  1.81E-19
2349  1.80E-19  1.80E-19
2349.5  1.79E-19  1.79E-19
2350  1.78E-19  1.78E-19
2350.5  1.77E-19  1.77E-19
2351  1.76E-19  1.76E-19
2351.5  1.75E-19  1.75E-19
2352  1.74E-19  1.74E-19
2352.5  1.73E-19  1.73E-19
2353  1.72E-19  1.72E-19
2353.5  1.71E-19  1.71E-19
2354  1.71E-19  1.71E-19
2354.5  1.70E-19  1.70E-19
2355  1.69E-19  1.69E-19
2355.5  1.68E-19  1.68E-19
2356  1.67E-19  1.67E-19
2356.5  1.67E-19  1.67E-19
2357  1.67E-19  1.67E-19
2357.5  1.67E-19  1.67E-19
2358  1.67E-19  1.67E-19
2358.5  1.65E-19  1.65E-19
2359  1.62E-19  1.62E-19
2359.5  1.60E-19  1.60E-19
2360  1.58E-19  1.58E-19
2360.5  1.56E-19  1.56E-19
2361  1.55E-19  1.55E-19
2361.5  1.54E-19  1.54E-19
2362  1.52E-19  1.52E-19
2362.5  1.52E-19  1.52E-19
2363  1.51E-19  1.51E-19
2363.5  1.50E-19  1.50E-19
2364  1.49E-19  1.49E-19
2364.5  1.48E-19  1.48E-19
2365  1.47E-19  1.47E-19
2365.5  1.47E-19  1.47E-19
2366  1.46E-19  1.46E-19
2366.5  1.46E-19  1.46E-19
2367  1.45E-19  1.45E-19
2367.5  1.45E-19  1.45E-19
2368  1.44E-19  1.44E-19
2368.5  1.44E-19  1.44E-19
2369  1.43E-19  1.43E-19
2369.5  1.42E-19  1.42E-19
2370  1.41E-19  1.41E-19
2370.5  1.40E-19  1.40E-19
2371  1.39E-19  1.39E-19
2371.5  1.39E-19  1.39E-19
2372  1.38E-19  1.38E-19
2372.5  1.37E-19  1.37E-19
2373  1.37E-19  1.37E-19
2373.5  1.36E-19  1.36E-19
2374  1.35E-19  1.35E-19
2374.5  1.35E-19  1.35E-19
2375  1.35E-19  1.35E-19
2375.5  1.35E-19  1.35E-19
2376  1.35E-19  1.35E-19
2376.5  1.35E-19  1.35E-19
2377  1.35E-19  1.35E-19
2377.5  1.35E-19  1.35E-19
2378  1.35E-19  1.35E-19
2378.5  1.34E-19  1.34E-19
2379  1.33E-19  1.33E-19
2379.5  1.31E-19  1.31E-19
2380  1.30E-19  1.30E-19
2380.5  1.29E-19  1.29E-19
2381  1.29E-19  1.29E-19
2381.5  1.28E-19  1.28E-19
2382  1.27E-19  1.27E-19
2382.5  1.27E-19  1.27E-19
2383  1.26E-19  1.26E-19
2383.5  1.26E-19  1.26E-19
2384  1.26E-19  1.26E-19
2384.5  1.25E-19  1.25E-19
2385  1.24E-19  1.24E-19
2385.5  1.23E-19  1.23E-19
2386  1.22E-19  1.22E-19
2386.5  1.22E-19  1.22E-19
2387  1.21E-19  1.21E-19
2387.5  1.21E-19  1.21E-19
2388  1.20E-19  1.20E-19
2388.5  1.20E-19  1.20E-19
2389  1.19E-19  1.19E-19
2389.5  1.19E-19  1.19E-19
2390  1.18E-19  1.18E-19
2390.5  1.17E-19  1.17E-19
2391  1.16E-19  1.16E-19
2391.5  1.15E-19  1.15E-19
2392  1.14E-19  1.14E-19
2392.5  1.13E-19  1.13E-19
2393  1.12E-19  1.12E-19
2393.5  1.11E-19  1.11E-19
2394  1.11E-19  1.11E-19
2394.5  1.10E-19  1.10E-19
2395  1.09E-19  1.09E-19
2395.5  1.08E-19  1.08E-19
2396  1.07E-19  1.07E-19
2396.5  1.06E-19  1.06E-19
2397  1.05E-19  1.05E-19
2397.5  1.04E-19  1.04E-19
2398  1.04E-19  1.04E-19
2398.5  1.02E-19  1.02E-19
2399  1.01E-19  1.01E-19
2399.5  1.00E-19  1.00E-19
2400  9.93E-20  9.93E-20
2400.5  9.86E-20  9.86E-20
2401  9.80E-20  9.80E-20
2401.5  9.73E-20  9.73E-20
2402  9.66E-20  9.66E-20
2402.5  9.57E-20  9.57E-20
2403  9.49E-20  9.49E-20
2403.5  9.40E-20  9.40E-20
2404  9.31E-20  9.31E-20
2404.5  9.24E-20  9.24E-20
2405  9.17E-20  9.17E-20
2405.5  9.10E-20  9.10E-20
2406  9.03E-20  9.03E-20
2406.5  8.97E-20  8.97E-20
2407  8.91E-20  8.91E-20
2407.5  8.84E-20  8.84E-20
2408  8.78E-20  8.78E-20
2408.5  8.70E-20  8.70E-20
2409  8.63E-20  8.63E-20
2409.5  8.55E-20  8.55E-20
2410  8.47E-20  8.47E-20
2410.5  8.44E-20  8.44E-20
2411  8.42E-20  8.42E-20
2411.5  8.39E-20  8.39E-20
2412  8.36E-20  8.36E-20
2412.5  8.31E-20  8.31E-20
2413  8.25E-20  8.25E-20
2413.5  8.20E-20  8.20E-20
2414  8.14E-20  8.14E-20
2414.5  8.11E-20  8.11E-20
2415  8.07E-20  8.07E-20
2415.5  8.04E-20  8.04E-20
2416  8.00E-20  8.00E-20
2416.5  7.92E-20  7.92E-20
2417  7.83E-20  7.83E-20
2417.5  7.75E-20  7.75E-20
2418  7.66E-20  7.66E-20
2418.5  7.62E-20  7.62E-20
2419  7.57E-20  7.57E-20
2419.5  7.53E-20  7.53E-20
2420  7.48E-20  7.48E-20
2420.5  7.46E-20  7.46E-20
2421  7.45E-20  7.45E-20
2421.5  7.43E-20  7.43E-20
2422  7.41E-20  7.41E-20
2422.5  7.36E-20  7.36E-20
2423  7.30E-20  7.30E-20
2423.5  7.25E-20  7.25E-20
2424  7.19E-20  7.19E-20
2424.5  7.13E-20  7.13E-20
2425  7.07E-20  7.07E-20
2425.5  7.01E-20  7.01E-20
2426  6.95E-20  6.95E-20
2426.5  6.91E-20  6.91E-20
2427  6.87E-20  6.87E-20
2427.5  6.83E-20  6.83E-20
2428  6.79E-20  6.79E-20
2428.5  6.74E-20  6.74E-20
2429  6.68E-20  6.68E-20
2429.5  6.63E-20  6.63E-20
2430  6.57E-20  6.57E-20
2430.5  6.52E-20  6.52E-20
2431  6.48E-20  6.48E-20
2431.5  6.43E-20  6.43E-20
2432  6.38E-20  6.38E-20
2432.5  6.34E-20  6.34E-20
2433  6.29E-20  6.29E-20
2433.5  6.25E-20  6.25E-20
2434  6.20E-20  6.20E-20
2434.5  6.17E-20  6.17E-20
2435  6.14E-20  6.14E-20
2435.5  6.10E-20  6.10E-20
2436  6.07E-20  6.07E-20
2436.5  5.98E-20  5.98E-20
2437  5.90E-20  5.90E-20
2437.5  5.81E-20  5.81E-20
2438  5.72E-20  5.72E-20
2438.5  5.73E-20  5.73E-20
2439  5.74E-20  5.74E-20
2439.5  5.75E-20  5.75E-20
2440  5.76E-20  5.76E-20
2440.5  5.69E-20  5.69E-20
2441  5.62E-20  5.62E-20
2441.5  5.55E-20  5.55E-20
2442  5.48E-20  5.48E-20
2442.5  5.44E-20  5.44E-20
2443  5.40E-20  5.40E-20
2443.5  5.35E-20  5.35E-20
2444  5.31E-20  5.31E-20
2444.5  5.29E-20  5.29E-20
2445  5.27E-20  5.27E-20
2445.5  5.24E-20  5.24E-20
2446  5.22E-20  5.22E-20
2446.5  5.17E-20  5.17E-20
2447  5.13E-20  5.13E-20
2447.5  5.08E-20  5.08E-20
2448  5.03E-20  5.03E-20
2448.5  5.00E-20  5.00E-20
2449  4.97E-20  4.97E-20
2449.5  4.93E-20  4.93E-20
2450  4.90E-20  4.90E-20
2450.5  4.84E-20  4.84E-20
2451  4.78E-20  4.78E-20
2451.5  4.72E-20  4.72E-20
2452  4.66E-20  4.66E-20
2452.5  4.62E-20  4.62E-20
2453  4.57E-20  4.57E-20
2453.5  4.53E-20  4.53E-20
2454  4.48E-20  4.48E-20
2454.5  4.44E-20  4.44E-20
2455  4.39E-20  4.39E-20
2455.5  4.35E-20  4.35E-20
2456  4.30E-20  4.30E-20
2456.5  4.30E-20  4.30E-20
2457  4.30E-20  4.30E-20
2457.5  4.30E-20  4.30E-20
2458  4.30E-20  4.30E-20
2458.5  4.25E-20  4.25E-20
2459  4.21E-20  4.21E-20
2459.5  4.16E-20  4.16E-20
2460  4.11E-20  4.11E-20
2460.5  4.08E-20  4.08E-20
2461  4.04E-20  4.04E-20
2461.5  4.01E-20  4.01E-20
2462  3.97E-20  3.97E-20
2462.5  3.96E-20  3.96E-20
2463  3.95E-20  3.95E-20
2463.5  3.93E-20  3.93E-20
2464  3.92E-20  3.92E-20
2464.5  3.89E-20  3.89E-20
2465  3.85E-20  3.85E-20
2465.5  3.82E-20  3.82E-20
2466  3.78E-20  3.78E-20
2466.5  3.76E-20  3.76E-20
2467  3.74E-20  3.74E-20
2467.5  3.71E-20  3.71E-20
2468  3.69E-20  3.69E-20
2468.5  3.68E-20  3.68E-20
2469  3.66E-20  3.66E-20
2469.5  3.65E-20  3.65E-20
2470  3.63E-20  3.63E-20
2470.5  3.60E-20  3.60E-20
2471  3.57E-20  3.57E-20
2471.5  3.54E-20  3.54E-20
2472  3.51E-20  3.51E-20
2472.5  3.46E-20  3.46E-20
2473  3.41E-20  3.41E-20
2473.5  3.35E-20  3.35E-20
2474  3.30E-20  3.30E-20
2474.5  3.28E-20  3.28E-20
2475  3.27E-20  3.27E-20
2475.5  3.25E-20  3.25E-20
2476  3.23E-20  3.23E-20
2476.5  3.20E-20  3.20E-20
2477  3.18E-20  3.18E-20
2477.5  3.15E-20  3.15E-20
2478  3.12E-20  3.12E-20
2478.5  3.11E-20  3.11E-20
2479  3.09E-20  3.09E-20
2479.5  3.08E-20  3.08E-20
2480  3.06E-20  3.06E-20
2480.5  3.01E-20  3.01E-20
2481  2.97E-20  2.97E-20
2481.5  2.92E-20  2.92E-20
2482  2.87E-20  2.87E-20
2482.5  2.86E-20  2.86E-20
2483  2.84E-20  2.84E-20
2483.5  2.83E-20  2.83E-20
2484  2.81E-20  2.81E-20
2484.5  2.79E-20  2.79E-20
2485  2.78E-20  2.78E-20
2485.5  2.76E-20  2.76E-20
2486  2.74E-20  2.74E-20
2486.5  2.70E-20  2.70E-20
2487  2.67E-20  2.67E-20
2487.5  2.63E-20  2.63E-20
2488  2.59E-20  2.59E-20
2488.5  2.55E-20  2.55E-20
2489  2.51E-20  2.51E-20
2489.5  2.47E-20  2.47E-20
2490  2.43E-20  2.43E-20
2490.5  2.41E-20  2.41E-20
2491  2.39E-20  2.39E-20
2491.5  2.36E-20  2.36E-20
2492  2.34E-20  2.34E-20
2492.5  2.33E-20  2.33E-20
2493  2.32E-20  2.32E-20
2493.5  2.31E-20  2.31E-20
2494  2.30E-20  2.30E-20
2494.5  2.28E-20  2.28E-20
2495  2.26E-20  2.26E-20
2495.5  2.24E-20  2.24E-20
2496  2.22E-20  2.22E-20
2496.5  2.21E-20  2.21E-20
2497  2.20E-20  2.20E-20
2497.5  2.18E-20  2.18E-20
2498  2.17E-20  2.17E-20
2498.5  2.15E-20  2.15E-20
2499  2.13E-20  2.13E-20
2499.5  2.11E-20  2.11E-20
2500  2.09E-20  2.09E-20
2500.5  2.12E-20  2.12E-20
2501  2.14E-20  2.14E-20
2501.5  2.17E-20  2.17E-20
2502  2.19E-20  2.19E-20
2502.5  2.15E-20  2.15E-20
2503  2.11E-20  2.11E-20
2503.5  2.06E-20  2.06E-20
2504  2.02E-20  2.02E-20
2504.5  2.00E-20  2.00E-20
2505  1.99E-20  1.99E-20
2505.5  1.97E-20  1.97E-20
2506  1.95E-20  1.95E-20
2506.5  1.94E-20  1.94E-20
2507  1.93E-20  1.93E-20
2507.5  1.91E-20  1.91E-20
2508  1.90E-20  1.90E-20
2508.5  1.87E-20  1.87E-20
2509  1.84E-20  1.84E-20
2509.5  1.80E-20  1.80E-20
2510  1.77E-20  1.77E-20
2510.5  1.77E-20  1.77E-20
2511  1.77E-20  1.77E-20
2511.5  1.76E-20  1.76E-20
2512  1.76E-20  1.76E-20
2512.5  1.74E-20  1.74E-20
2513  1.72E-20  1.72E-20
2513.5  1.70E-20  1.70E-20
2514  1.68E-20  1.68E-20
2514.5  1.68E-20  1.68E-20
2515  1.68E-20  1.68E-20
2515.5  1.67E-20  1.67E-20
2516  1.67E-20  1.67E-20
2516.5  1.63E-20  1.63E-20
2517  1.59E-20  1.59E-20
2517.5  1.55E-20  1.55E-20
2518  1.51E-20  1.51E-20
2518.5  1.48E-20  1.48E-20
2519  1.45E-20  1.45E-20
2519.5  1.42E-20  1.42E-20
2520  1.39E-20  1.39E-20
2520.5  1.39E-20  1.39E-20
2521  1.39E-20  1.39E-20
2521.5  1.38E-20  1.38E-20
2522  1.38E-20  1.38E-20
2522.5  1.36E-20  1.36E-20
2523  1.35E-20  1.35E-20
2523.5  1.33E-20  1.33E-20
2524  1.31E-20  1.31E-20
2524.5  1.31E-20  1.31E-20
2525  1.32E-20  1.32E-20
2525.5  1.32E-20  1.32E-20
2526  1.32E-20  1.32E-20
2526.5  1.28E-20  1.28E-20
2527  1.24E-20  1.24E-20
2527.5  1.20E-20  1.20E-20
2528  1.16E-20  1.16E-20
2528.5  1.17E-20  1.17E-20
2529  1.19E-20  1.19E-20
2529.5  1.20E-20  1.20E-20
2530  1.21E-20  1.21E-20
2530.5  1.21E-20  1.21E-20
2531  1.21E-20  1.21E-20
2531.5  1.20E-20  1.20E-20
2532  1.20E-20  1.20E-20
2532.5  1.20E-20  1.20E-20
2533  1.21E-20  1.21E-20
2533.5  1.21E-20  1.21E-20
2534  1.21E-20  1.21E-20
2534.5  1.20E-20  1.20E-20
2535  1.19E-20  1.19E-20
2535.5  1.18E-20  1.18E-20
2536  1.17E-20  1.17E-20
2536.5  1.14E-20  1.14E-20
2537  1.11E-20  1.11E-20
2537.5  1.08E-20  1.08E-20
2538  1.05E-20  1.05E-20
2538.5  1.07E-20  1.07E-20
2539  1.08E-20  1.08E-20
2539.5  1.10E-20  1.10E-20
2540  1.11E-20  1.11E-20
2540.5  1.08E-20  1.08E-20
2541  1.04E-20  1.04E-20
2541.5  1.01E-20  1.01E-20
2542  9.70E-21  9.70E-21
2542.5  1.01E-20  1.01E-20
2543  1.04E-20  1.04E-20
2543.5  1.08E-20  1.08E-20
2544  1.11E-20  1.11E-20
2544.5  1.09E-20  1.09E-20
2545  1.08E-20  1.08E-20
2545.5  1.06E-20  1.06E-20
2546  1.04E-20  1.04E-20
2546.5  1.01E-20  1.01E-20
2547  9.85E-21  9.85E-21
2547.5  9.58E-21  9.58E-21
2548  9.30E-21  9.30E-21
2548.5  9.23E-21  9.23E-21
2549  9.15E-21  9.15E-21
2549.5  9.08E-21  9.08E-21
2550  9.00E-21  9.00E-21
2550.5  8.93E-21  8.93E-21
2551  8.85E-21  8.85E-21
2551.5  8.78E-21  8.78E-21
2552  8.70E-21  8.70E-21
2552.5  8.73E-21  8.73E-21
2553  8.75E-21  8.75E-21
2553.5  8.78E-21  8.78E-21
2554  8.80E-21  8.80E-21
2554.5  8.95E-21  8.95E-21
2555  9.10E-21  9.10E-21
2555.5  9.25E-21  9.25E-21
2556  9.40E-21  9.40E-21
2556.5  9.20E-21  9.20E-21
2557  9.00E-21  9.00E-21
2557.5  8.80E-21  8.80E-21
2558  8.60E-21  8.60E-21
2558.5  8.75E-21  8.75E-21
2559  8.90E-21  8.90E-21
2559.5  9.05E-21  9.05E-21
2560  9.20E-21  9.20E-21
2560.5  9.30E-21  9.30E-21
2561  9.40E-21  9.40E-21
2561.5  9.50E-21  9.50E-21
2562  9.60E-21  9.60E-21
2562.5  9.28E-21  9.28E-21
2563  8.95E-21  8.95E-21
2563.5  8.63E-21  8.63E-21
2564  8.30E-21  8.30E-21
2564.5  8.33E-21  8.33E-21
2565  8.35E-21  8.35E-21
2565.5  8.38E-21  8.38E-21
2566  8.40E-21  8.40E-21
2566.5  8.25E-21  8.25E-21
2567  8.10E-21  8.10E-21
2567.5  7.95E-21  7.95E-21
2568  7.80E-21  7.80E-21
2568.5  7.48E-21  7.48E-21
2569  7.15E-21  7.15E-21
2569.5  6.83E-21  6.83E-21
2570  6.50E-21  6.50E-21
2570.5  6.88E-21  6.88E-21
2571  7.25E-21  7.25E-21
2571.5  7.63E-21  7.63E-21
2572  8.00E-21  8.00E-21
2572.5  7.73E-21  7.73E-21
2573  7.45E-21  7.45E-21
2573.5  7.18E-21  7.18E-21
2574  6.90E-21  6.90E-21
2574.5  6.80E-21  6.80E-21
2575  6.70E-21  6.70E-21
2575.5  6.60E-21  6.60E-21
2576  6.50E-21  6.50E-21
2576.5  6.58E-21  6.58E-21
2577  6.65E-21  6.65E-21
2577.5  6.73E-21  6.73E-21
2578  6.80E-21  6.80E-21
2578.5  6.68E-21  6.68E-21
2579  6.55E-21  6.55E-21
2579.5  6.43E-21  6.43E-21
2580  6.30E-21  6.30E-21
2580.5  6.35E-21  6.35E-21
2581  6.40E-21  6.40E-21
2581.5  6.45E-21  6.45E-21
2582  6.50E-21  6.50E-21
2582.5  6.20E-21  6.20E-21
2583  5.90E-21  5.90E-21
2583.5  5.60E-21  5.60E-21
2584  5.30E-21  5.30E-21
2584.5  5.10E-21  5.10E-21
2585  4.90E-21  4.90E-21
2585.5  4.70E-21  4.70E-21
2586  4.50E-21  4.50E-21
2586.5  4.75E-21  4.75E-21
2587  5.00E-21  5.00E-21
2587.5  5.25E-21  5.25E-21
2588  5.50E-21  5.50E-21
2588.5  5.15E-21  5.15E-21
2589  4.80E-21  4.80E-21
2589.5  4.45E-21  4.45E-21
2590  4.10E-21  4.10E-21
2590.5  4.05E-21  4.05E-21
2591  4.00E-21  4.00E-21
2591.5  3.95E-21  3.95E-21
2592  3.90E-21  3.90E-21
2592.5  3.78E-21  3.78E-21
2593  3.65E-21  3.65E-21
2593.5  3.53E-21  3.53E-21
2594  3.40E-21  3.40E-21
2594.5  3.45E-21  3.45E-21
2595  3.50E-21  3.50E-21
2595.5  3.55E-21  3.55E-21
2596  3.60E-21  3.60E-21
2596.5  3.80E-21  3.80E-21
2597  4.00E-21  4.00E-21
2597.5  4.20E-21  4.20E-21
2598  4.40E-21  4.40E-21
2598.5  4.08E-21  4.08E-21
2599  3.75E-21  3.75E-21
2599.5  3.43E-21  3.43E-21
2600  3.10E-21  3.10E-21
2600.5  3.22E-21  3.22E-21
2601  3.34E-21  3.34E-21
2601.5  3.46E-21  3.46E-21
2602  3.58E-21  3.58E-21
2602.5  3.70E-21  3.70E-21
2603  3.82E-21  3.82E-21
2603.5  3.94E-21  3.94E-21
2604  4.06E-21  4.06E-21
2604.5  4.18E-21  4.18E-21
2605  4.30E-21  4.30E-21
2605.5  4.33E-21  4.33E-21
2606  4.36E-21  4.36E-21
2606.5  4.39E-21  4.39E-21
2607  4.42E-21  4.42E-21
2607.5  4.45E-21  4.45E-21
2608  4.48E-21  4.48E-21
2608.5  4.51E-21  4.51E-21
2609  4.54E-21  4.54E-21
2609.5  4.57E-21  4.57E-21
2610  4.60E-21  4.60E-21
2610.5  4.65E-21  4.65E-21
2611  4.70E-21  4.70E-21
2611.5  4.75E-21  4.75E-21
2612  4.80E-21  4.80E-21
2612.5  4.85E-21  4.85E-21
2613  4.90E-21  4.90E-21
2613.5  4.95E-21  4.95E-21
2614  5.00E-21  5.00E-21
2614.5  5.05E-21  5.05E-21
2615  5.10E-21  5.10E-21
2615.5  5.18E-21  5.18E-21
2616  5.26E-21  5.26E-21
2616.5  5.34E-21  5.34E-21
2617  5.42E-21  5.42E-21
2617.5  5.50E-21  5.50E-21
2618  5.58E-21  5.58E-21
2618.5  5.66E-21  5.66E-21
2619  5.74E-21  5.74E-21
2619.5  5.82E-21  5.82E-21
2620  5.90E-21  5.90E-21
2620.5  5.82E-21  5.82E-21
2621  5.74E-21  5.74E-21
2621.5  5.66E-21  5.66E-21
2622  5.58E-21  5.58E-21
2622.5  5.50E-21  5.50E-21
2623  5.42E-21  5.42E-21
2623.5  5.34E-21  5.34E-21
2624  5.26E-21  5.26E-21
2624.5  5.18E-21  5.18E-21
2625  5.10E-21  5.10E-21
2625.5  5.13E-21  5.13E-21
2626  5.16E-21  5.16E-21
2626.5  5.19E-21  5.19E-21
2627  5.22E-21  5.22E-21
2627.5  5.25E-21  5.25E-21
2628  5.28E-21  5.28E-21
2628.5  5.31E-21  5.31E-21
2629  5.34E-21  5.34E-21
2629.5  5.37E-21  5.37E-21
2630  5.40E-21  5.40E-21
2630.5  5.34E-21  5.34E-21
2631  5.28E-21  5.28E-21
2631.5  5.22E-21  5.22E-21
2632  5.16E-21  5.16E-21
2632.5  5.10E-21  5.10E-21
2633  5.04E-21  5.04E-21
2633.5  4.98E-21  4.98E-21
2634  4.92E-21  4.92E-21
2634.5  4.86E-21  4.86E-21
2635  4.80E-21  4.80E-21
2635.5  4.80E-21  4.80E-21
2636  4.80E-21  4.80E-21
2636.5  4.80E-21  4.80E-21
2637  4.80E-21  4.80E-21
2637.5  4.80E-21  4.80E-21
2638  4.80E-21  4.80E-21
2638.5  4.80E-21  4.80E-21
2639  4.80E-21  4.80E-21
2639.5  4.80E-21  4.80E-21
2640  4.80E-21  4.80E-21
2640.5  4.76E-21  4.76E-21
2641  4.72E-21  4.72E-21
2641.5  4.68E-21  4.68E-21
2642  4.64E-21  4.64E-21
2642.5  4.60E-21  4.60E-21
2643  4.56E-21  4.56E-21
2643.5  4.52E-21  4.52E-21
2644  4.48E-21  4.48E-21
2644.5  4.44E-21  4.44E-21
2645  4.40E-21  4.40E-21
2645.5  4.86E-21  4.86E-21
2646  5.32E-21  5.32E-21
2646.5  5.78E-21  5.78E-21
2647  6.24E-21  6.24E-21
2647.5  6.70E-21  6.70E-21
2648  7.16E-21  7.16E-21
2648.5  7.62E-21  7.62E-21
2649  8.08E-21  8.08E-21
2649.5  8.54E-21  8.54E-21
2650  9.00E-21  9.00E-21
2650.5  8.82E-21  8.82E-21
2651  8.64E-21  8.64E-21
2651.5  8.46E-21  8.46E-21
2652  8.28E-21  8.28E-21
2652.5  8.10E-21  8.10E-21
2653  7.92E-21  7.92E-21
2653.5  7.74E-21  7.74E-21
2654  7.56E-21  7.56E-21
2654.5  7.38E-21  7.38E-21
2655  7.20E-21  7.20E-21
2655.5  7.12E-21  7.12E-21
2656  7.04E-21  7.04E-21
2656.5  6.96E-21  6.96E-21
2657  6.88E-21  6.88E-21
2657.5  6.80E-21  6.80E-21
2658  6.72E-21  6.72E-21
2658.5  6.64E-21  6.64E-21
2659  6.56E-21  6.56E-21
2659.5  6.48E-21  6.48E-21
2660  6.40E-21  6.40E-21
2660.5  6.43E-21  6.43E-21
2661  6.46E-21  6.46E-21
2661.5  6.49E-21  6.49E-21
2662  6.52E-21  6.52E-21
2662.5  6.55E-21  6.55E-21
2663  6.58E-21  6.58E-21
2663.5  6.61E-21  6.61E-21
2664  6.64E-21  6.64E-21
